date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:04:55	42409/42409	---M-Z	200	added ('OK')	text/html	date:Fri,%2002%20Dec%202016%2005:02:55%20GMT	http://www.w3schools.com/sql/sql_having.asp	C:/Users/dparrado/Desktop/Aprobar/Aprobar/www.w3schools.com/sql/sql_having.html	(from http://www.w3schools.com/sql/)
10:04:56	41506/41506	---M-Z	200	added ('OK')	text/html	date:Fri,%2002%20Dec%202016%2005:51:31%20GMT	http://www.w3schools.com/sql/sql_func_ucase.asp	C:/Users/dparrado/Desktop/Aprobar/Aprobar/www.w3schools.com/sql/sql_func_ucase.html	(from http://www.w3schools.com/sql/)
10:04:56	41512/41512	---M-Z	200	added ('OK')	text/html	date:Fri,%2002%20Dec%202016%2007:30:17%20GMT	http://www.w3schools.com/sql/sql_func_lcase.asp	C:/Users/dparrado/Desktop/Aprobar/Aprobar/www.w3schools.com/sql/sql_func_lcase.html	(from http://www.w3schools.com/sql/)
10:04:56	42317/42317	---M-Z	200	added ('OK')	text/html	date:Fri,%2002%20Dec%202016%2007:25:07%20GMT	http://www.w3schools.com/sql/sql_func_mid.asp	C:/Users/dparrado/Desktop/Aprobar/Aprobar/www.w3schools.com/sql/sql_func_mid.html	(from http://www.w3schools.com/sql/)
10:04:57	41481/41481	---M-Z	200	added ('OK')	text/html	date:Fri,%2002%20Dec%202016%2005:47:57%20GMT	http://www.w3schools.com/sql/sql_func_len.asp	C:/Users/dparrado/Desktop/Aprobar/Aprobar/www.w3schools.com/sql/sql_func_len.html	(from http://www.w3schools.com/sql/)
10:04:58	42039/42039	---M-Z	200	added ('OK')	text/html	date:Fri,%2002%20Dec%202016%2006:13:12%20GMT	http://www.w3schools.com/sql/sql_func_round.asp	C:/Users/dparrado/Desktop/Aprobar/Aprobar/www.w3schools.com/sql/sql_func_round.html	(from http://www.w3schools.com/sql/)
10:04:58	40923/40923	---M-Z	200	added ('OK')	text/html	date:Fri,%2002%20Dec%202016%2006:29:18%20GMT	http://www.w3schools.com/sql/sql_func_now.asp	C:/Users/dparrado/Desktop/Aprobar/Aprobar/www.w3schools.com/sql/sql_func_now.html	(from http://www.w3schools.com/sql/)
10:04:59	41333/41333	---M-Z	200	added ('OK')	text/html	date:Fri,%2002%20Dec%202016%2005:20:06%20GMT	http://www.w3schools.com/sql/sql_func_format.asp	C:/Users/dparrado/Desktop/Aprobar/Aprobar/www.w3schools.com/sql/sql_func_format.html	(from http://www.w3schools.com/sql/)
10:04:59	40423/40423	---M-Z	200	added ('OK')	text/html	date:Fri,%2002%20Dec%202016%2008:36:19%20GMT	http://www.w3schools.com/sql/sql_hosting.asp	C:/Users/dparrado/Desktop/Aprobar/Aprobar/www.w3schools.com/sql/sql_hosting.html	(from http://www.w3schools.com/sql/)
10:04:59	41000/41000	---M-Z	200	added ('OK')	text/html	date:Fri,%2002%20Dec%202016%2005:34:19%20GMT	http://www.w3schools.com/sql/sql_quiz.asp	C:/Users/dparrado/Desktop/Aprobar/Aprobar/www.w3schools.com/sql/sql_quiz.html	(from http://www.w3schools.com/sql/)
